County,Office,Candidate,Party,District,Votes
,Town Council Member,Whitney N Rahn,Independent,Shipshewana,184
,Town Council Member,Anthony N. Mosby,Non Partisan,NEW PEKIN,170
,Town Council Member,Arland (AJ) Altic,Non Partisan,BROWN,68
,Town Council Member,Dale  Thompson,Non Partisan,Advance,114
,Town Council Member,Darlene Anderson Hall,Non Partisan,NEW PEKIN,251
,Town Council Member,James Caldwell,Non Partisan,Advance,119
,Town Council Member,Jennifer Stahl,Non Partisan,BROWN,118
,Town Council Member,Albert  Luttrell,Republican,PATOKA,0
,Town Council Member,Andrew J Stratton,Republican,HOLTON,75
,Town Council Member,Anne Kumeh,Republican,Ambia,43
,Town Council Member,Anthony Giger,Republican,TOWN OF PRINCES LAKES,424
,Town Council Member,Arlen R Mitchel,Republican,GENEVA,162
,Town Council Member,Ashlee Salyer,Republican,MEDARYVILLE,123
,Town Council Member,Austin Rennick,Republican,Oxford,194
,Town Council Member,Barbara J. Lowhorn,Republican,BROOKLYN,314
,Town Council Member,Becky Fryman,Republican,CLAY 1,416
,Town Council Member,Bob Goldsmith,Republican,NORTH SALEM,140
,Town Council Member,BRIAN A. MCEVOY,Republican,OGDEN DUNES,314
,Town Council Member,Bruce E Brown,Republican,KNIGHTSTOWN,609
,Town Council Member,Carol Eckstein,Republican,SUNMAN,332
,Town Council Member,Carol Youngblood,Republican,MONROVIA,594
,Town Council Member,Charlie Bourne,Republican,TOWN OF PRINCES LAKES,408
,Town Council Member,Chris Greene,Republican,YORKTOWN,4750
,Town Council Member,Christine A Yoder,Republican,Shipshewana,184
,Town Council Member,Christopher Albaugh,Republican,FLORA,759
,Town Council Member,Christopher L Kuhn Sr,Republican,OSGOOD,529
,Town Council Member,Chuck Rhodes,Republican,KNIGHTSTOWN,590
,Town Council Member,Craig S Standish,Republican,Howard,700
,Town Council Member,Dave V. Kesvormas Sr,Republican,Hamlet,246
,Town Council Member,David Brown,Republican,Rockville,729
,Town Council Member,Debra L Everling,Republican,Howard,710
,Town Council Member,Donald Foley,Republican,SUNMAN,326
,Town Council Member,Douglas A. Baker,Republican,CLAY 1,411
,Town Council Member,Dustin  Kaufman,Republican,MONROVIA,589
,Town Council Member,Ethan Orschell,Republican,TOWN OF BROOKVILLE,881
,Town Council Member,Herbert Gray,Republican,PATOKA,121
,Town Council Member,Jake Foster,Republican,Boswell,159
,Town Council Member,James Walter Watkins,Republican,WINAMAC,466
,Town Council Member,Jeff Strasburger,Republican,Earl Park,94
,Town Council Member,Jeremy Creech,Republican,BRANDYWINE NW,205
,Town Council Member,Jewel Blevins,Republican,MORGANTOWN,199
,Town Council Member,John Estridge,Republican,TOWN OF BROOKVILLE,867
,Town Council Member,John Walstad,Republican,HOPE,566
,Town Council Member,Joshua A. Shives,Republican,SHADELAND,526
,Town Council Member,Justin R Geigley,Republican,Topeka,156
,Town Council Member,Kent R Kauffman,Republican,MIDDLEBURY,1163
,Town Council Member,Kevin M Richey,Republican,KNIGHTSTOWN,588
,Town Council Member,Kevin Miller,Republican,MIDDLEBURY,1129
,Town Council Member,Kristi Dunigan,Republican,BROOKLYN,463
,Town Council Member,Kylee Senesac,Republican,Boswell,173
,Town Council Member,LIDDY DOWD-WRIGHT,Republican,Rockville,595
,Town Council Member,Linda Brummet,Republican,OTTERBEIN,370
,Town Council Member,Lori Frederick,Republican,PATOKA,0
,Town Council Member,Lyle E Miller,Republican,Shipshewana,180
,Town Council Member,Lynn W. Burry,Republican,GENEVA,303
,Town Council Member,Mark S Lantz,Republican,Howard,676
,Town Council Member,Mark W. Berry,Republican,PATOKA,203
,Town Council Member,Marta Guinn,Republican,YORKTOWN,4003
,Town Council Member,Michael Brewer,Republican,Fowler,624
,Town Council Member,Michael H Kermode,Republican,PATOKA,160
,Town Council Member,Michael L. Kuipers,Republican,SHADELAND,582
,Town Council Member,Michelle M. Sarault,Republican,Fowler,665
,Town Council Member,Mike Holloway,Republican,MIDDLEBURY,1236
,Town Council Member,Nanci Sears Perry,Republican,YORKTOWN,4887
,Town Council Member,Nate Foster,Republican,Oxford,270
,Town Council Member,Ohmer J Miller,Republican,HOPE,433
,Town Council Member,Pamela Luenz,Republican,SHADELAND,538
,Town Council Member,PAUL HUGHES,Republican,HOLTON,95
,Town Council Member,Phyllis Nighbert,Republican,HOLTON,74
,Town Council Member,Ray J Folk,Republican,Topeka,160
,Town Council Member,Rebecca Beesley,Republican,TOWN OF BROOKVILLE,837
,Town Council Member,Renee Hart,Republican,VERSAILLES,785
,Town Council Member,Robert E. Morrison Jr.,Republican,SHADELAND,545
,Town Council Member,Robert Wisthoff,Republican,LaPorte,90
,Town Council Member,Roxanne Meyer,Republican,VERSAILLES,756
,Town Council Member,Sarah Eller,Republican,TOWN OF CHANDLER,933
,Town Council Member,Stacie Baker,Republican,MORGANTOWN,214
,Town Council Member,Stan Ringger,Republican,GENEVA,296
,Town Council Member,Steven G Waltz,Republican,Rockville,524
,Town Council Member,Steven Rucker,Republican,Ha In Town,100
,Town Council Member,Tammy  Everett,Republican,MONROVIA,601
,Town Council Member,Tom J (Tommy) Murray,Republican,WINAMAC,530
,Town Council Member,Tonya  Wester,Republican,TOWN OF CHANDLER,789
,Town Council Member,William H Compton,Republican,NORTH SALEM,142
,School Board Member,Aaron (AJ) Byerley,Non Partisan,EAST NOBLE,4994
,School Board Member,AARON CARL,Non Partisan,Huntington,826
,School Board Member,Aaron L Clark,Non Partisan,JAY SCHOOL CORP,5260
,School Board Member,Aaron L Pfafman,Non Partisan,Prairie Heights,3129
,School Board Member,Aaron L Stevens,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,6729
,School Board Member,Aaron M Bauer,Non Partisan,Vincennes School Corp,3367
,School Board Member,Aaron M Lee,Non Partisan,EAST WASHINGTON,2564
,School Board Member,Aaron Pickering,Non Partisan,Oak Hill United School Corporation,2486
,School Board Member,Aaron Zolman,Non Partisan,TIPPECANOE VALLEY SCHOOLS CORPORATION,3402
,School Board Member,Abbie L Morgan,Non Partisan,NORTH WEST HENDRICKS SCHOOLS,3867
,School Board Member,Adam  Heckaman,Non Partisan,TIPPECANOE VALLEY SCHOOLS CORPORATION,3359
,School Board Member,Adam Beck,Non Partisan,"PRECINCT 22, PRECINCT 23, PRECINCT 27, PRECINCT 28, PRECINCT 32, PRECINCT 33, PRECINCT 39",1804
,School Board Member,Adam Campbell,Non Partisan,BHSC 1,1764
,School Board Member,Adam Joseph Thompson,Non Partisan,Oak Hill United School Corporation,2153
,School Board Member,Adam Shepherd,Non Partisan,"WBCCS Clinton, WBCCS Harrison, WBCCS Jackson, WBCCS Jefferson, WBCCS Sugar Creek, WBCCS Washington",3387
,School Board Member,Alan Schoff,Non Partisan,IPS 1,5324
,School Board Member,ALBERTO (BETO) OCHOA,Non Partisan,Hammond,5110
,School Board Member,Alex M Knepp,Non Partisan,BARR-REEVE,1513
,School Board Member,Alex S. Cosgray,Non Partisan,Pioneer SC,1073
,School Board Member,Alex Whiteman,Non Partisan,PAOLI SCHOOL CORPORATION,1870
,School Board Member,Alexandra D Durham,Non Partisan,Howard,7678
,School Board Member,Alicia (Bunny) Houchin,Non Partisan,South Knox Schools,2233
,School Board Member,Alison Hanley,Non Partisan,NOBLESVILLE,12082
,School Board Member,Alison R Ortman,Non Partisan,Decatur County,2685
,School Board Member,ALLENCIA BALLARD,Non Partisan,Highland,3645
,School Board Member,Allison Jean Ezzell,Non Partisan,SALEM COMM SCHOOLS,1827
,School Board Member,Allison M Shook,Non Partisan,Plymouth Community School Corp,3807
,School Board Member,Allison Marie Duff,Non Partisan,SALEM COMM SCHOOLS,1209
,School Board Member,Allissa Impink,Non Partisan,IPS 4,11261
,School Board Member,Amanda  Johnson,Non Partisan,MCS,1454
,School Board Member,Amanda H Wooton,Non Partisan,SOUTHERN HANCOCK,4072
,School Board Member,Amanda Kelich,Non Partisan,MADISON-GRANT UNITED SCHOOL CORPORATION,2556
,School Board Member,Amanda Lock,Non Partisan,CENTRAL NOBLE,2762
,School Board Member,Amber N Smith,Non Partisan,Decatur County,2062
,School Board Member,Amy Austin,Non Partisan,West Lafayette School Corporation,3217
,School Board Member,Amy Counts,Non Partisan,CENTER GROVE SCHOOL CORP,8895
,School Board Member,Amy Huffman Oliver,Non Partisan,Brown,4344
,School Board Member,Amy J Musser,Non Partisan,SOUTHEAST FOUNTAIN S. C.,735
,School Board Member,Amy L Miller,Non Partisan,SOUTH RIPLEY,2688
,School Board Member,AMY L. DEVRIES,Non Partisan,Vanderburgh,30107
,School Board Member,AMY LORE,Non Partisan,Vigo,13045
,School Board Member,Amy Norman,Non Partisan,Lawrence Township Schools,28170
,School Board Member,Amy S. Mennen,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1406
,School Board Member,AMY SINDER,Non Partisan,Munster,5402
,School Board Member,Ana Blake,Non Partisan,SOUTH MADISON COMMUNITY SCHOOL CORP,5858
,School Board Member,Andrea Baysinger,Non Partisan,Clay Community,1209
,School Board Member,Andrea J Campbell,Non Partisan,TIPTON COMMUNITY,3542
,School Board Member,Andrea L Hale,Non Partisan,WESTERN,5327
,School Board Member,Andrea L Lee,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,4297
,School Board Member,Andrea M Kirkpatrick,Non Partisan,Ohio,1966
,School Board Member,ANDREW DOYLE,Non Partisan,Union-North United School Corp,2148
,School Board Member,Andrew E Skinner,Non Partisan,Warrick,12582
,School Board Member,Andrew H Davis,Non Partisan,White River Valley School Corp.,219
,School Board Member,Andrew J Dropsey,Non Partisan,SOUTHERN HANCOCK,1599
,School Board Member,Andrew J Hawk,Non Partisan,SHELBY EASTERN SCHOOLS,2551
,School Board Member,ANDREW LAUB,Non Partisan,TriCreek,1629
,School Board Member,Andrew Oake,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,2532
,School Board Member,Andrew Paul Adams,Non Partisan,MACONAQUAH,2970
,School Board Member,Andrew Tillson,Non Partisan,RANDOLPH SOUTH,731
,School Board Member,Andy Wandersee,Non Partisan,CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,2319
,School Board Member,Angela (Angie) G Smith,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,1058
,School Board Member,Angela D. Barnes,Non Partisan,Pike Township Schools,17919
,School Board Member,ANGELA LAYMAN,Non Partisan,MISHAWAKA,5774
,School Board Member,ANGELA M PATRICK,Non Partisan,TriCreek,1452
,School Board Member,Angie Brown,Non Partisan,SOUTH MADISON COMMUNITY SCHOOL CORP,5538
,School Board Member,Angie Byrne,Non Partisan,NORTH HARRISON,3203
,School Board Member,Anji Strasburger,Non Partisan,SOUTH NEWTON,938
,School Board Member,Ann Carruthers,Non Partisan,Floyd,14657
,School Board Member,Ann Faudree,Non Partisan,MSD Martinsville,4181
,School Board Member,Anne M Von Der Vellen,Non Partisan,ELKHART COMMUNITY SCHOOL,10008
,School Board Member,Anne Marie Layden,Non Partisan,MILAN,2098
,School Board Member,ANNETTE MALONE  ,Non Partisan,SCHOOL DISTRICT 4,1774
,School Board Member,ANTHONY (TONY) GRANATA,Non Partisan,Lake Central,9675
,School Board Member,ANTHONY J HALL,Non Partisan,CARR SCHOOL CORP,305
,School Board Member,Anthony Zehner,Non Partisan,Culver Community School Corp,2085
,School Board Member,April Hennessey,Non Partisan,Monroe County Comm School Corp,25010
,School Board Member,April M Mcmanus,Non Partisan,Beech Grove Schools,2432
,School Board Member,April Rinks,Non Partisan,Beech Grove Schools,2382
,School Board Member,Aragon Gould,Non Partisan,Cloverdale,1352
,School Board Member,ARCHIE B. LINTZ,Non Partisan,Huntington,280
,School Board Member,ARDEN W BALMER,Non Partisan,Union-North United School Corp,890
,School Board Member,Arlene J Amstutz,Non Partisan,"SA SCHOOL BOARD SEAT 1, SA SCHOOL BOARD SEAT 2, SA SCHOOL BOARD SEAT 3, SA SCHOOL BOARD SEAT 4, SA SCHOOL BOARD SEAT 5",2785
,School Board Member,Arlet Jackle,Non Partisan,GREATER JASPER CONSOLIDATED,6441
,School Board Member,ART JUERGENS,Non Partisan,SEYMOUR SCHOOL CORP,8116
,School Board Member,ART KLINGER,Non Partisan,PENN-HARRIS-MADISON,8339
,School Board Member,Ashley Black,Non Partisan,NORTH HARRISON,972
,School Board Member,Ashley Chambers,Non Partisan,2,311
,School Board Member,Ashley Gillespie,Non Partisan,MT PLEASANT,3713
,School Board Member,Ashley Thomas,Non Partisan,IPS 1,10630
,School Board Member,ASHLEY TRENCH,Non Partisan,Northeast Schools,1622
,School Board Member,Astin Vick,Non Partisan,Perry Township Schools,173
,School Board Member,AUDREY STARR,Non Partisan,E PORTER,30
,School Board Member,Austin Brann,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,6992
,School Board Member,Autumn Ferch,Non Partisan,Knox,2033
,School Board Member,Barb Toole,Non Partisan,Vincennes School Corp,2841
,School Board Member,Barrett Key,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,1650
,School Board Member,Barry J. Bishop,Non Partisan,ORLEANS SCHOOL CORPORATION,1532
,School Board Member,Becky O'Farrell,Non Partisan,TWIN LAKES,4912
,School Board Member,Ben Steury,Non Partisan,DEKALB EASTERN,1589
,School Board Member,Benjamin L Liechty,Non Partisan,"AC SCHOOL BOARD SEAT 1, AC SCHOOL BOARD SEAT 2, AC SCHOOL BOARD SEAT 3, AC SCHOOL BOARD SEAT 4, AC SCHOOL BOARD SEAT 5, AC SCHOOL BOARD SEAT 6",1988
,School Board Member,Benjamin Rediger,Non Partisan,SOUTH ADAMS,1317
,School Board Member,Benson Davenport,Non Partisan,SOUTH GIBSON,2658
,School Board Member,Beth A. Davis,Non Partisan,"NORTH GIBSON 1, NORTH GIBSON 2, NORTH GIBSON 3",2680
,School Board Member,Beth A. Prindle,Non Partisan,Beech Grove Schools,2353
,School Board Member,Beth Chaney,Non Partisan,MACONAQUAH,2024
,School Board Member,Beth Cherry,Non Partisan,DANVILLE COMM SCHOOLS,3178
,School Board Member,BETH MARTENS,Non Partisan,Hanover,2522
,School Board Member,Beth Yoder,Non Partisan,Franklin Township Schools,15160
,School Board Member,Bethany Woelfert,Non Partisan,TIPTON COMMUNITY,2528
,School Board Member,Bill Crane,Non Partisan,ORLEANS SCHOOL CORPORATION,1065
,School Board Member,Bill Hodge,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,261
,School Board Member,Blaine J Timonera,Non Partisan,Batesville Community School Corporation,3540
,School Board Member,Blane R Trinkle,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,4909
,School Board Member,Bobbi M Elliott,Non Partisan,"PRECINCT 22, PRECINCT 23, PRECINCT 27, PRECINCT 28, PRECINCT 32, PRECINCT 33, PRECINCT 39",1839
,School Board Member,Brad Tucker,Non Partisan,Richland-Bean Blossom Comm School Corp,4995
,School Board Member,Bradd A Weddell,Non Partisan,GOSHEN COMMUNITY SCHOOL,9334
,School Board Member,Bradley A Inskeep,Non Partisan,MONROE CENTRAL,1619
,School Board Member,Bradley A. Helvey,Non Partisan,NOBLESVILLE,9891
,School Board Member,Bradley D Anderson,Non Partisan,"Tippecanoe School Corporation District 1, Tippecanoe School Corporation District 2, Tippecanoe School Corporation District 3, Tippecanoe School Corporation District 4, Tippecanoe School Corporation District 5, Tippecanoe School Corporation District 6",22447
,School Board Member,Bradley Kuhn,Non Partisan,PLAINFIELD COMM SCHOOLS,4461
,School Board Member,BRADLEY L KEEHN JR,Non Partisan,Hobart,4703
,School Board Member,Bradley M Rogers,Non Partisan,PERU,1333
,School Board Member,Bradley Mills  ,Non Partisan,SOUTHWEST ALLEN,16620
,School Board Member,BRANDI BERKHALTER,Non Partisan,FREMONT SCHOOL DISTRICT,2340
,School Board Member,Brandi M Bates,Non Partisan,PLAINFIELD COMM SCHOOLS,3999
,School Board Member,Brandon (Brandi) Schemerhorn,Non Partisan,TRI-COUNTY,1253
,School Board Member,Brandon J Kleine,Non Partisan,SHELBY EASTERN SCHOOLS,2470
,School Board Member,Brandon Quint Miller,Non Partisan,GCS 2,1390
,School Board Member,Brandy Nord,Non Partisan,SOUTHEAST SCHOOL DISTRICT,855
,School Board Member,Brenda K Metzger,Non Partisan,Warrick,12059
,School Board Member,Brent A Michael,Non Partisan,ROSSVILLE,1261
,School Board Member,Brent C Weller,Non Partisan,"GARRETT,  KEYSER,  BUTLER",1819
,School Board Member,Brent Minton,Non Partisan,SALEM COMM SCHOOLS,1627
,School Board Member,Bret Richardson,Non Partisan,NOBLESVILLE,12574
,School Board Member,Brett Jones,Non Partisan,FRANKLIN COMM SCHOOL CORP,6046
,School Board Member,Brevan T Cornelius,Non Partisan,S. MONTGOMERY SCHOOL CORP,1600
,School Board Member,Brian (Michael) Wogoman,Non Partisan,FAIRFIELD COMMUNITY SCHOOL,3585
,School Board Member,Brian Buzz Caffee,Non Partisan,"SA SCHOOL BOARD SEAT 1, SA SCHOOL BOARD SEAT 2, SA SCHOOL BOARD SEAT 3, SA SCHOOL BOARD SEAT 4, SA SCHOOL BOARD SEAT 5",2860
,School Board Member,Brian D. Tincher,Non Partisan,NORTH HARRISON,1403
,School Board Member,Brian Dimbath,Non Partisan,White River Valley School Corp.,176
,School Board Member,Brian E Clark,Non Partisan,SMITH-GREEN,2127
,School Board Member,Brian Farmer,Non Partisan,WEST WASHINGTON,1651
,School Board Member,Brian Hart,Non Partisan,SOUTHERN HANCOCK,2708
,School Board Member,BRIAN M SMITH,Non Partisan,Crown Point,12879
,School Board Member,Brian Michael Ramer,Non Partisan,MCS,1530
,School Board Member,Brian Teall,Non Partisan,Bremen Public Schools,2164
,School Board Member,Brian William Rose,Non Partisan,SCH F,614
,School Board Member,Brian Williams,Non Partisan,MT. VERNON,4231
,School Board Member,Brian Young,Non Partisan,Nineveh,1189
,School Board Member,BRIDGETTE A. HOUSER,Non Partisan,Northeast Schools,1172
,School Board Member,Brittany Giles,Non Partisan,NORTH SPENCER COUNTY SCHOOL CORPORATION,4544
,School Board Member,Brittney Deig Butler,Non Partisan,MT. VERNON,4737
,School Board Member,Brock Sievers,Non Partisan,"NORTH GIBSON 1, NORTH GIBSON 2, NORTH GIBSON 3",2208
,School Board Member,BRUCE SAWOCHKA,Non Partisan,PORTAGE TWS SC,7681
,School Board Member,Bruce Wayne West,Non Partisan,SOUTH VERMILLION,3335
,School Board Member,Bryan Smethers,Non Partisan,WHITLEY COUNTY,3832
,School Board Member,Cambria B Sparks,Non Partisan,2,198
,School Board Member,Cameron Mcilrath,Non Partisan,SHENANDOAH SCHOOL,2138
,School Board Member,Candace D Armstrong,Non Partisan,SOUTH NEWTON,414
,School Board Member,Candace M Tramel,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,782
,School Board Member,Candee Hopkins,Non Partisan,Warren Township Schools,8815
,School Board Member,Carl Mike Steele,Non Partisan,WESTFIELD-WASHINGTON,12188
,School Board Member,Carla (Allen) Newlin,Non Partisan,SPRINGS VALLEY SCHOOL CORPORATION,1209
,School Board Member,Carla R Bryant,Non Partisan,BLUE RIVER VALLEY SCHOOL,1100
,School Board Member,Carlene Hunt,Non Partisan,NORTH WHITE,1503
,School Board Member,CARLOS LEYVA,Non Partisan,SCHOOL DISTRICT 4,2248
,School Board Member,Carol Swanson,Non Partisan,EDINBURGH COMM SCHOOL COR,839
,School Board Member,Carri Jo Cambron,Non Partisan,WEST WASHINGTON,1578
,School Board Member,Carrie Beth Rowland,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,3135
,School Board Member,Carrie Douglas,Non Partisan,"WBCCS Clinton, WBCCS Harrison, WBCCS Jackson, WBCCS Jefferson, WBCCS Sugar Creek, WBCCS Washington",1641
,School Board Member,Carrie J Schrock,Non Partisan,Westview,2000
,School Board Member,Carrie L. Harris,Non Partisan,IPS,17947
,School Board Member,Carrie Larrison,Non Partisan,WESTFIELD-WASHINGTON,20671
,School Board Member,Carrie T Ingram,Non Partisan,"District 1, District 2, District 3, District 4, District 5, District 6",1164
,School Board Member,Cary L Malchow,Non Partisan,HARRISON,782
,School Board Member,Casen L Lake,Non Partisan,Logansport SC,606
,School Board Member,Casey N Carmichael,Non Partisan,SOUTH HENRY SCHOOL,1294
,School Board Member,CASEY R MANAHAN,Non Partisan,MSD SCHOOL DISTRICT,2487
,School Board Member,Casi Cowles,Non Partisan,ROCHESTER SCHOOL CORPORATION,2083
,School Board Member,Catherine Leanne Peterson,Non Partisan,Norwell,4316
,School Board Member,Catherine R Zeider,Non Partisan,SOUTH NEWTON,586
,School Board Member,Cathleen (Cathy) Cook,Non Partisan,NINEVEH HENSLEY JACKSON,3199
,School Board Member,Cathy Hillard,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,6149
,School Board Member,Cathy J Hamm,Non Partisan,EDINBURGH COMM SCHOOL COR,1256
,School Board Member,CATRINA BAKER,Non Partisan,SCHOOL DISTRICT 3,5493
,School Board Member,Celeste Wright-Black,Non Partisan,BLUE RIVER VALLEY SCHOOL,361
,School Board Member,Cena Bain,Non Partisan,Monroe-Gregg School,1139
,School Board Member,Chad A Moore,Non Partisan,WHITLEY COUNTY,3851
,School Board Member,Chad Bock,Non Partisan,ELWOOD COMMUNITY SCHOOL CORP,2433
,School Board Member,Chad Boldry,Non Partisan,CASTON SCHOOL CORPORATION,1608
,School Board Member,Chad Cooper,Non Partisan,SPENCER/OWEN,5496
,School Board Member,Chad Gray,Non Partisan,MT. VERNON,4447
,School Board Member,CHAD ORD,Non Partisan,VERNON SCHOOL CORP,919
,School Board Member,Chad Towell,Non Partisan,JAY SCHOOL CORP,5510
,School Board Member,Chandra L Felker,Non Partisan,Pioneer SC,994
,School Board Member,Charity Flores,Non Partisan,CENTER GROVE SCHOOL CORP,6916
,School Board Member,Charles (Chuck) J Christner,Non Partisan,Westview,1303
,School Board Member,CHARLES (CHUCK) MCMILLION,Non Partisan,Hanover,2336
,School Board Member,Charles (Rick) Jones,Non Partisan,MONROE,1090
,School Board Member,Charles A Wagner,Non Partisan,PERU,1531
,School Board Member,Charles J. Kubly,Non Partisan,TWIN LAKES,2575
,School Board Member,Charles W Wright,Non Partisan,Crawford County,684
,School Board Member,Charley W Hinkle,Non Partisan,Howard,12245
,School Board Member,Chelsea Crump,Non Partisan,Greater Clark County Schools,16944
,School Board Member,Chelsea Morrison,Non Partisan,Jennings,6356
,School Board Member,Cheri L O'Day Marcotte,Non Partisan,Wayne Township Schools,9481
,School Board Member,Cheryl Lynn (Sherry) Shei,Non Partisan,SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,1177
,School Board Member,Chris Carithers,Non Partisan,BAUGO COMMUNITY SCHOOL,2083
,School Board Member,Chris D Mckinney,Non Partisan,Pike County School Corp,2950
,School Board Member,Chris Dalton,Non Partisan,BENTON COMMUNITY SCHOOL CORPORATION,3940
,School Board Member,Chris Daugherty,Non Partisan,SOUTH DEARBORN COMM.,6523
,School Board Member,Chris Rountree,Non Partisan,Silver Creek School,5192
,School Board Member,Chris Satterfield,Non Partisan,Pike County School Corp,2526
,School Board Member,Chris Van De Water,Non Partisan,ATTICA SCHOOL CORPORATION,942
,School Board Member,Chris W Nipple,Non Partisan,D6,150
,School Board Member,Christi Crosser,Non Partisan,NOBLESVILLE,14638
,School Board Member,Christian  Rosen,Non Partisan,MSD,4091
,School Board Member,CHRISTIAN L MATTIX,Non Partisan,JOHN GLENN SCH CORP,2271
,School Board Member,CHRISTINA CRIST,Non Partisan,Vigo,18986
,School Board Member,Christina Eshelman,Non Partisan,WA-NEE COMMUNITY SCHOOL,3039
,School Board Member,Christina Ward,Non Partisan,DANVILLE COMM SCHOOLS,3651
,School Board Member,CHRISTINE STRIBIAK,Non Partisan,Whiting,428
,School Board Member,Christopher (Chris) Zaborowsky,Non Partisan,GREENWOOD COMMUNITY SCHOOL CORP,3048
,School Board Member,Christopher D. Burton,Non Partisan,SPRINGS VALLEY SCHOOL CORPORATION,1508
,School Board Member,Christopher Dean Myers,Non Partisan,Plymouth Community School Corp,1890
,School Board Member,Christopher M. Duckwall,Non Partisan,"EB District 1, EB District 2, EB District 3, EB District 4",1959
,School Board Member,Christopher Mavronicles,Non Partisan,PAOLI SCHOOL CORPORATION,669
,School Board Member,Christopher W Gayler,Non Partisan,ATTICA SCHOOL CORPORATION,1363
,School Board Member,Cindy Diehl,Non Partisan,EAST ALLEN 7E,5172
,School Board Member,Cindy Stalter Nisley,Non Partisan,MIDDLEBURY COMMUNITY SCHOOL,3986
,School Board Member,Clint R House,Non Partisan,Linton Stockton School Corp,2531
,School Board Member,Codey D Turner,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2008
,School Board Member,Cody Hargis,Non Partisan,S. MONTGOMERY SCHOOL CORP,1755
,School Board Member,Connie Harper,Non Partisan,"Tippecanoe School Corporation District 1, Tippecanoe School Corporation District 2, Tippecanoe School Corporation District 3, Tippecanoe School Corporation District 4, Tippecanoe School Corporation District 5, Tippecanoe School Corporation District 6",22561
,School Board Member,Corey Benjamin Lady,Non Partisan,"DAVIS, OREGON 01, OREGON 02, OREGON 03",1053
,School Board Member,Corey S Potts,Non Partisan,Ohio,2017
,School Board Member,CORY ARCHBOLD,Non Partisan,MSD SCHOOL DISTRICT,5081
,School Board Member,Cory M Himsel,Non Partisan,DANVILLE COMM SCHOOLS,3627
,School Board Member,Cory Whalbring,Non Partisan,JAC-CEN-DEL,357
,School Board Member,Courtney A. Schwartz,Non Partisan,SOUTHWEST SCHOOL DISTRICT,3018
,School Board Member,Courtney Crocker,Non Partisan,ORLEANS SCHOOL CORPORATION,1067
,School Board Member,Craig  Adams,Non Partisan,Crawford County,2968
,School Board Member,Craig Davis,Non Partisan,DEKALB EASTERN,2161
,School Board Member,Craig M Parks,Non Partisan,"LCS Center, LCS Lebanon, LCS Perry, LCS Worth",4611
,School Board Member,Craig Randall Jones,Non Partisan,Crawford County,1823
,School Board Member,Craig S. Starr,Non Partisan,PAOLI SCHOOL CORPORATION,1431
,School Board Member,Creighton Prawat,Non Partisan,Bremen Public Schools,1099
,School Board Member,Cristie E Rans,Non Partisan,CASTON SCHOOL CORPORATION,1495
,School Board Member,Crystal (For Lawrence) Puckett,Non Partisan,Lawrence Township Schools,23254
,School Board Member,Crystal D Mikels,Non Partisan,Mitchell Community Schools,1478
,School Board Member,CURT JOHNSON,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,3331
,School Board Member,CURTIS RAY HINES,Non Partisan,Huntington,634
,School Board Member,CYNTHIA (CINDY) SUES,Non Partisan,Lake Central,11798
,School Board Member,Cynthia L Hurst,Non Partisan,Western,5321
,School Board Member,Dacey Davis,Non Partisan,ECS D,1439
,School Board Member,Dan Brown,Non Partisan,GREENFIELD CENTRAL,6289
,School Board Member,DAN DUCHEMIN,Non Partisan,MSD OF WARREN COUNTY,2640
,School Board Member,Dan Fleming,Non Partisan,SHERIDAN,2016
,School Board Member,Dan Long,Non Partisan,NORTH NEWTON,1046
,School Board Member,Dan VanDuyne,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,1535
,School Board Member,Daniel E. Spencer,Non Partisan,"EB District 1, EB District 2, EB District 3, EB District 4",1496
,School Board Member,Daniel J (DJ) Harkrider,Non Partisan,SOUTHWEST PARKE COMM,1591
,School Board Member,Daniel J Armstrong,Non Partisan,Howard,1670
,School Board Member,Daniel W Walker,Non Partisan,SOUTHERN HANCOCK,6931
,School Board Member,Danielle Renee Bell,Non Partisan,PLAINFIELD COMM SCHOOLS,5636
,School Board Member,Darin Gudeman,Non Partisan,WEST CENTRAL,1467
,School Board Member,Darlene Hall,Non Partisan,Scott County Schools 1,885
